code,parent_code,name,gst
debtor,financial_transactions,Debtors Account,
crdtor,financial_transactions,Creditors Account,
clnbnk,financial_transactions,Bank Charges,
depinc,financial_transactions,Deposit Income,
rntinc,financial_transactions,Rental Income,
adjacc,financial_transactions,Adjustment Account,
actadm,financial_transactions,Accounts Admin Fee,
gardng,property_maintenance,Gardening,
cleann,property_maintenance,Cleaning,
Poolmt,property_maintenance,Pool Maintenance,
genman,property_maintenance,General Maintenance,
apprep,property_maintenance,Appliance Repairs,
electn,property_maintenance,Electrical Repairs,
plumng,property_maintenance,Plumbing,
garrep,property_maintenance,Garage Repairs,
glazng,property_maintenance,Glazing Charges,
gutcln,property_maintenance,Gutter Cleaning,
lcksmt,property_maintenance,Locksmith,
floorg,property_maintenance,Flooring,
fencin,property_maintenance,Fencing,
smkala,property_maintenance,Smoke Alarm,
stmfee,fees_and_charges,Statement Fee,
advert,fees_and_charges,Advertising Fee,
manfee,fees_and_charges,Management Fee,
leafee,fees_and_charges,Leasing Fee,
learen,fees_and_charges,Leasing Renewal Fee,
dishon,fees_and_charges,Dishonour Fee,
vcatfe,fees_and_charges,VCAT Fee,
badfee,fees_and_charges,Cancellation Fee,
matfee,fees_and_charges,Management Renewal Fee,
pstctl,fees_and_charges,Credit Card Fee,
remstr,fees_and_charges,Removals and Storage,
waterr,utilities_and_services,Water Rates,
insure,utilities_and_services,Insurance,
postag,utilities_and_services,Postage,
electr,utilities_and_services,Electricity Usage,
intrnt,utilities_and_services,Internet,
eofysf,legal_and_compliance,EOFY Statement Fee,
ocfees,legal_and_compliance,Owners Corporation Fees,
cnlrts,legal_and_compliance,Council Rates,
landtx,legal_and_compliance,Land Tax,
blinds,miscellaneous,Blinds,
smkala,miscellaneous,Smoke Alarm,
keysacc,miscellaneous,Keys account,
reimbu,miscellaneous,Reimbursements,
genexp,miscellaneous,General Expenses,
rengif,miscellaneous,Renter Gift,
compen,miscellaneous,Compensation,
